Name                     			|  Version       		|  License			| URL
------------------------------------+-----------------------+-------------------+-------------------------------------
ant-contrib.jar			 			| ?			 	 		| Apache			| http://ant-contrib.sourceforge.net/
i4jruntime.jar			 			| ?			 			| Commercial		| http://www.ej-technologies.com
jarbundler-1.4.jar		 			| ?			 	 		| GPL				| http://informagen.com/JarBundler/index.html
pack200task.jar			 			| ?			 	 		| Sun				| https://java-pack200-ant-task.dev.java.net/
pmd.jar					 			| 4.2.5		 	 		| BSD				| http://pmd.sf.net
asm.jar					 			| 3.1		 	 		| BSD				| http://pmd.sf.net
checkstyle.jar                      | 6.18-all              | Apache 2          | https://sourceforge.net/projects/checkstyle/
junit.jar							| 4.8.2					| CPL				| http://www.junit.org
dist/activation.jar					| ? 			 		| Sun				| http://java.sun.com/javase/technologies/desktop/javabeans/jaf/downloads/index.html
dist/asterisk-im-client.jar			| 2.0.0-SNAPSHOT        | GPL				| http://igniterealtime.org/
dist/jxmpp-core                     | 0.4.2                 | Apache            | https://github.com/igniterealtime/jxmpp
dist/jxmpp-util-cache               | 0.4.2                 | Apache            | https://github.com/igniterealtime/jxmpp
dist/dom4j.jar						| 2.0.0.a 		 		| BSD				| http://www.dom4j.org/
dist/linux/jdic.jar					| ? 			 		| LGPL				| https://jdic.dev.java.net/
dist/mac/javaSoundStream.fix.jar	| ? 			 		| ?					| ?
dist/smack-bosh.jar					| 4.1.7		 			| Apache			| http://www.igniterealtime.org/projects/smack/index.jsp
dist/smack-compression-jzlib.jar	| 4.1.7		 			| Apache			| http://www.igniterealtime.org/projects/smack/index.jsp
dist/smack-core.jar					| 4.1.7		 			| Apache			| http://www.igniterealtime.org/projects/smack/index.jsp
dist/smack-debug.jar				| 4.1.7		 			| Apache			| http://www.igniterealtime.org/projects/smack/index.jsp
dist/smack-debug-slf4j.jar			| 4.1.7		 			| Apache			| http://www.igniterealtime.org/projects/smack/index.jsp
dist/smack-experimental.jar			| 4.1.7		 			| Apache			| http://www.igniterealtime.org/projects/smack/index.jsp
dist/smack-extensions.jar			| 4.1.7		 			| Apache			| http://www.igniterealtime.org/projects/smack/index.jsp
dist/smack-im.jar					| 4.1.7		 			| Apache			| http://www.igniterealtime.org/projects/smack/index.jsp
dist/smack-java7.jar				| 4.1.7		 			| Apache			| http://www.igniterealtime.org/projects/smack/index.jsp
dist/smack-legacy.jar				| 4.1.7		 			| Apache			| http://www.igniterealtime.org/projects/smack/index.jsp
dist/smack-resolver-javax.jar		| 4.1.7		 			| Apache			| http://www.igniterealtime.org/projects/smack/index.jsp
dist/smack-sasl-javax.jar			| 4.1.7		 			| Apache			| http://www.igniterealtime.org/projects/smack/index.jsp
dist/smack-tcp.jar					| 4.1.7		 			| Apache			| http://www.igniterealtime.org/projects/smack/index.jsp
dist/swingx.jar						| ? 			 		| LGPL				| https://swingx.dev.java.net/
dist/systeminfo.jar					| ? 			 		| LGPL				| https://jdic.dev.java.net/incubator/systeminfo/index.html
dist/windows/jacob.jar				| 1.14.1 		 		| LGPL				| http://jacob-project.sourceforge.net/
dist/windows/jdic.jar				| ? 			 		| LGPL				| https://jdic.dev.java.net/
dist/xpp3.jar						| 1.1.4.c	 		    | Apache*           | http://www.extreme.indiana.edu/xgws/xsoap/xpp/mxp1/
dist/xstream.jar					| ? 			 		| ?					| http://xstream.codehaus.org/
dist/fmj.jar						| 09-10-26 SVN			| LGPL				| http://sf.net/projects/fmj
dist/jdom.jar						| 1.1.1					| BSD				| http://www.jdom.org
dist/ext/jweb-ext.jar 				| 0.98.4				| LGPL				| http://lobobrowser.org
dist/ext/primary.jar 				| 0.98.4				| LGPL				| http://lobobrowser.org
dist/cobra.jar						| 0.98.4				| LGPL				| http://lobobrowser.org
dist/js.jar							| 0.98.4				| LGPL				| http://lobobrowser.org
dist/lobo-pub.jar					| 0.98.4				| LGPL				| http://lobobrowser.org
dist/lobo.jar						| 0.98.4				| LGPL				| http://lobobrowser.org
dist/substance.jar					| 7.2.1					| BSD				| https://github.com/Insubstantial
dist/trident.jar					| 7.2.1					| BSD				| https://github.com/Insubstantial
dist/JTattoo.jar                    | 1.6.9                 | Apache(?)         | http://www.jtattoo.net
merge/commons-codec.jar				| 1.3			 		| Apache			| http://commons.apache.org/codec/
merge/commons-httpclient.jar		| ? 			 		| Apache			| http://hc.apache.org/
merge/commons-logging.jar			| ? 			 		| Apache			| http://commons.apache.org/logging/
merge/jaxen.jar						| 1.1.1 		 		| BSD				| http://jaxen.codehaus.org/
merge/looks.jar						| ? 			 		| BSD				| http://www.jgoodies.com/downloads/libraries.html
merge/updater.jar					| ? 			 		| ?					| Jive?

* xpp3-1.1.4.c has multiple licenses.
